DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
univision.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
ixigo.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
ixl.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
enuygun.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
flashscore.com.ve,GTM,Loads Pixel on Accept Cookies,
dana.id,GTM,Pixel loading gets blocked (blocked:csp),
solaredge.com,GTM,Loads Pixel on Accept Cookies,
dezeen.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
x-cdn-static.com,GTM,Pixel related GTM activates under certain conditions,
medonet.pl,GTM,Loads Pixel on Accept Cookies,
f-secure.com,GTM,Loads Pixel on Accept Cookies,
elisa.fi,GTM,Does not load on visitation/ Has Pixel configured in GTM,
tapad.com,GTM,Pixel related GTM activates under certain conditions,
livemint.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
worldwildlife.org,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
zalando.be,GTM,Loads Pixel on Accept Cookies,
foxit.com,GTM,Loads Pixel on Accept Cookies,
hotmart.com,GTM,Loads Pixel on Accept Cookies,
subito.it,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
betweendigital.com,GTM,Requires login,
krikya.io,GTM,Does not load on visitation/ Has Pixel configured in GTM,
cnn.com,GTM,Pixel related GTM activates under certain conditions,
one.one,GTM,Loads Pixel on Accept Cookies,
redbus.in,GTM,Does not load on visitation/ Has Pixel configured in GTM,
zalando.de,GTM,Loads Pixel on Accept Cookies,
axios.com,GTM,GTM loading and firing only the lightweight Pixel (no config loaded),
casapariurilor.ro,GTM,Loads Pixel on Accept Cookies,
olx.ua,GTM,Does not load on visitation/ Has Pixel configured in GTM,
dior.com,GTM,Pixel loads after second action,Select language to proceed in homepage
manoramaonline.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
litres.ru,GTM,Does not load on visitation/ Has Pixel configured in GTM,
privacy.com.br,GTM,Requires login,
leeds.ac.uk,GTM,Loads Pixel on Accept Cookies,
gala.de,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
purepeople.com,GTM,Loads Pixel on Accept Cookies,
nhtsa.gov,GTM,Does not load on visitation/ Has Pixel configured in GTM,
ripley.cl,GTM,Loads Pixel on Accept Cookies,
cardekho.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
hasznaltauto.hu,GTM,Loads Pixel on Accept Cookies,
scotsman.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
edmunds.com,FBP,Loads Pixel on homepage,
zalando.nl,GTM,Loads Pixel on Accept Cookies,
doordash.com,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
amnesty.org,GTM,Pixel related GTM activates under certain conditions,
formula1.com,GTM,Loads Pixel on Accept Cookies,
hbs.edu,GTM,Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
trello.com,GTM,Does not load on visitation/ Has Pixel configured in GTM,
